Autor,Citas,Fecha,Link,Titulo
"E Gualda, , Empiria: Revista de metodología de ciencias sociales, 2022 , dialnet.unirioja.es",10,2022,https://dialnet.unirioja.es/descarga/articulo/8238025.pdf,"Social big data, sociología y ciencias sociales computacionales"
"GF Rosati,, AS Chazarreta, L Domenech Burin… , 2023 , ri.conicet.gov.ar",1,2023,https://ri.conicet.gov.ar/bitstream/handle/11336/223001/CONICET_Digital_Nro.34a677c6-0fe7-442e-8f01-6287253f215f_B.pdf?sequence=2&isAllowed=y,Ciencias Sociales Computacionales: Un estado de la cuestión y una agenda de investigación
"G Becerra,, JA Castorina , Cinta de moebio, 2023 , SciELO Chile",5,2023,https://www.scielo.cl/scielo.php?pid=S0717-554X2023000100050&script=sci_arttext&tlng=en,Hacia un análisis de los marcos epistémicos del big data
"G Rosati,, LD Burin, F Piñeyrúa , ides.org.ar",0,Null,https://www.ides.org.ar/sites/default/files/docs/2023/taller-de-ciencias-sociales-computacionales-ides-untref.pdf,"Ciencias Sociales Computacionales, Big Data y Machine Learning. Un mapa de situación del giro computacional en las ciencias sociales"
"M Day, , RevIISE: Revista de Ciencias Sociales y Humanas, 2022 , dialnet.unirioja.es",0,2022,https://dialnet.unirioja.es/descarga/articulo/8412920.pdf,Reseña del artículo “Ciencias Sociales Computacionales Desafíos y Oportunidades”
"MH López,, EMR Félix, ,RO Ruiz, , Informes Psicológicos, 2021 , dialnet.unirioja.es",0,2021,https://dialnet.unirioja.es/descarga/articulo/8326409.pdf,El ciber-rumor y cybergossip en Colombia: una reflexión desde la ciberpsicología y las ciencias sociales computacionales
"E Gualda Caballero,, ,A Taboada Villamarín,… , 2023 , digibug.ugr.es",5,2023,https://digibug.ugr.es/bitstream/handle/10481/79779/Gazeta-2023-39-1-articulo-09.pdf?sequence=1&isAllowed=y,"'Big data'y ciencias sociales. Una mirada comparativa a las publicaciones de antropología, sociología y trabajo social"
"HM Herrera,López,, EMR Félix, ,R Ortega,Ruiz, , academia.edu",0,Null,https://www.academia.edu/download/90246993/6633.pdf,El ciber-rumor y cybergossip en Colombia: una reflexión desde la ciberpsicología y las ciencias sociales computacionales* 16
"J Caro Saiz,, S Díaz,de la Fuente, ,V Ahedo,… , 2020 , digital.csic.es",0,2020,https://digital.csic.es/bitstream/10261/220574/1/Zurro-2020-Ciencias%20Sociales%20Computacionales%20y...pdf,Ciencias Sociales Computacionales y Humanidades Digitales: un ejemplo de praxis transdisciplinar
"S Díaz,de la Fuente,, ,V Ahedo,, ,D Zurro,… , Terra Incognita: Libro …, 2020 , pressbooks.pub",0,2020,https://pressbooks.pub/terraincognita/chapter/ciencias-sociales-computacionales-y-humanidades-digitales-un-ejemplo-de-praxis-transdisciplinar/,Ciencias Sociales Computacionales y Humanidades Digitales: un ejemplo de praxis transdisciplinar
"ME Meneses Rocha , Revista mexicana de sociología, 2018 , scielo.org.mx",56,2018,https://www.scielo.org.mx/scielo.php?pid=S0188-25032018000200415&script=sci_arttext,"Grandes datos, grandes desafíos para las ciencias sociales"
"JDL Villar,, ,RCL Villar, , … : Revista de divulgación científica de la …, 2019 , dialnet.unirioja.es",2,2019,https://dialnet.unirioja.es/descarga/articulo/7156042.pdf,Complejidad y ciencia de sistemas: aproximación a su impacto actual en el mundo
"M Servent , Revista Disputas, 2022 , revistas.unc.edu.ar",0,2022,https://revistas.unc.edu.ar/index.php/disputas/article/download/39886/40042,Laboratorios en Ciencias Sociales:“Pasar de los conceptos a los índices y documentar las etapas de investigación”: Entrevista a German Rosati (Universidad …
"LG Rodríguez Zoya, P Roggero , Polis (Santiago), 2014 , SciELO Chile",50,2014,https://www.scielo.cl/pdf/polis/v13n39/art19.pdf,La modelización y simulación computacional como metodología de investigación social
"RDV Galeano , researchgate.net",0,Null,https://www.researchgate.net/profile/Ruben-Villota-Galeano-2/publication/330325166_Las_Ciencias_Sociales_Computacionales_La_Complejidad_y_sus_Nuevas_Herramientas_para_la_Investigacion_Social_2da_Version_Corregida_y_Ampliada/links/5ebed7af458515626cac7f1b/Las-Ciencias-Sociales-Computacionales-La-Complejidad-y-sus-Nuevas-Herramientas-para-la-Investigacion-Social-2da-Version-Corregida-y-Ampliada.pdf,Las Ciencias Sociales Computacionales: La Complejidad y sus Nuevas Herramientas para la Investigación Social
"AA Cutroni , Revista Intersticios, 2022 , revistas.ucasal.edu.ar",0,2022,http://revistas.ucasal.edu.ar/index.php/IN/article/download/575/516,Las ciencias sociales en los intersticios del big data: guía práctica para no ser conservadores ni caer en el fin de la teoría.
"I Hernández Garcia, , … d'art. Actualité internationale de la …, 2018 , journals.openedition.org",0,2018,https://journals.openedition.org/critiquedart/pdf/27463,"Carlos Eduardo Maldonado, Complejidad de las ciencias sociales. Y de las otras ciencias y disciplinas"
"LE Cadenas , Disertaciones: Anuario electrónico de estudios en …, 2020 , dialnet.unirioja.es",1,2020,https://dialnet.unirioja.es/descarga/articulo/7544704.pdf,El rol de las redes nacionales de investigación y educación en las Ciencias Sociales
"CAF López,, JA Gallego, AM Zapata… , MIRADAS … , researchgate.net",0,Null,https://www.researchgate.net/profile/Carlos-Florez-Lopez/publication/364721068_CARLOS_A_FLOREZ_LOPEZ_CARLOS_MARIO_CORREA_CADAVID_MIRADAS_TRANSVERSALES/links/635837aa96e83c26eb52a36c/CARLOS-A-FLOREZ-LOPEZ-CARLOS-MARIO-CORREA-CADAVID-MIRADAS-TRANSVERSALES.pdf#page=15,Capítulo 1 Analítica en ciencias sociales y grandes volúmenes de datos
"L Rodríguez Zoya , VII Jornadas de Jóvenes …, 2013 , jornadasjovenesiigg.sociales.uba.ar",0,2013,http://jornadasjovenesiigg.sociales.uba.ar/wp-content/uploads/sites/107/2013/10/eje9_rodriguezzoya.pdf,"El interés del modelado y la simulación computacional para las ciencias sociales: repensando la complejidad de la relación entre teoría, epistemología y …"
"VA García , 2021 , investigacion.ubu.es",0,2021,,"Análisis de datos etnográficos, antropológicos y arqueológicos: una aproximación desde las humanidades digitales y los sistemas complejos/analysis of …"
"I Hernández,García, , Artelogie. Recherche sur les arts, le …, 2017 , journals.openedition.org",0,2017,https://journals.openedition.org/artelogie/1609,"Complejidad de las ciencias sociales. Y de otras ciencias y disciplinas. De Carlos Eduardo Maldonado. Ediciones desde abajo. Bogotá, 2016."
"B Aragona, , Empiria: Revista de metodología de ciencias …, 2022 , dialnet.unirioja.es",5,2022,https://dialnet.unirioja.es/descarga/articulo/8238019.pdf,"Tipos de big data y análisis sociológico: usos, críticas y problemas éticos"
"E Gualda, , rabida.uhu.es",0,Null,https://rabida.uhu.es/dspace/bitstream/handle/10272/19925/Gualda_2021_Sociolog%C3%ADa-Computacional-UMA_F-2.pdf?sequence=6,Sociología Computacional y Social Big Data: desafíos teóricos y metodológicos
"M Ciardiello, G Becerra , XIV Jornadas …, 2021 , … .sociales.uba.ar",0,2021,http://jornadasdesociologia2021.sociales.uba.ar/wp-content/uploads/ponencias2021/1439_387.pdf,Nuevas técnicas y abordajes para la sociología política. Un caso de análisis del discurso del ex presidente Mauricio Macri
