Autor,Citas,Fecha,Link,Titulo
"MM Serrano,",10,2011,https://dialnet.unirioja.es/descarga/articulo/5791320.pdf,"Mediación y sociedad. Voz"" Mediación"""
R Ribera,29,1994,https://camjol.info/index.php/REALIDAD/article/download/5239/4905,El Salvador: la negociación del acuerdo de paz¿ Un modelo para el mundo?
"A Castro,J Díaz,",19,2017,https://www.researchgate.net/profile/Esther-Almarcha-Nunez-Herrador/publication/322078204_La_impresion_de_lo_moderno_los_volumenes_provinciales_de_los_XXV_Anos_de_Paz/links/5b4f7a8ba6fdcc8dae2b37fc/La-impresion-de-lo-moderno-los-volumenes-provinciales-de-los-XXV-Anos-de-Paz.pdf,XX años de paz franquista: sociedad y cultura en España hacia 1964
"D Ramírez Plasencia,L Chávez Aceves,",79,2012,https://www.scielo.org.mx/scielo.php?pid=S1665-109X2012000200004&script=sci_arttext,El concepto de mediación en la comunidad del conocimiento
RA Calcaterra ,211,2018,,Mediación estratégica
"AT Giraldo,JAR Soto,",222,2017,https://revistasojs.ucaldas.edu.co/index.php/latinoamericana/article/download/4016/3724,"El juego como mediación pedagógica en la comunidad de una institución de protección, una experiencia llena de sentidos"
C Ahumada,39,2020,https://www.scielo.org.mx/scielo.php?pid=S0301-70362020000100025&script=sci_arttext,"La implementación del Acuerdo de paz en Colombia: entre la"" paz territorial"" y la disputa por el territorio"
I Urruela Arnal,32,2013,https://journals.copmadrid.org/apj/archivos/jr2012v21a11.pdf,Reflexión: Mediación en una Comunidad Intercultural
SF Duarte Leyton ,8,2018,,Impacto de la cátedra de la paz: un modelo para la medición del impacto social
"JC Torrego Seijo,JC Aguado Asenjo ",386,2006,,Modelo integrado de mejora de la convivencia: estrategias de mediación y tratamiento de conflictos
"R Barragán Romano,",18,2000,http://www.scielo.org.bo/scielo.php?pid=S2077-33232000000100026&script=sci_arttext,"Ciudad y sociedad, La Paz en 1880"
"A Moreno González,",220,2010,https://diposit.ub.edu/dspace/bitstream/2445/56863/1/584805.pdf,La mediación artística: Un modelo de educación artística para la intervención social a través del arte.
"G Musitu,TI Jiménez,S Murgui",263,2007,https://www.scielosp.org/pdf/spm/2007.v49n1/3-10/es,"Funcionamiento familiar, autoestima y consumo de sustancias en adolescentes: un modelo de mediación"
S Iungman ,92,1998,http://www.terras.edu.ar/biblioteca/16/16TUT_Iungman_Unidad_3.pdf,La mediación escolar
S Laghrich,36,2004,http://www.um.es/tonosdigital/znum8/estudios/11-Salou.htm,Reflexiones sobre la mediación intercultural y experiencias desde la Comunidad Valenciana
"G Novel Martí,",73,2010,,Mediación organizacional: desarrollando un modelo de éxito compartido
S Franco,45,2015,http://www.scielo.org.co/scielo.php?pid=S1657-70272015000200001&script=sci_arttext,Salud para la paz y paz para la salud
"C Courtheyn,",17,2019,http://www.scielo.org.co/scielo.php?pid=S0123-84182019000100291&script=sci_arttext,"Territorios de paz: otras territorialidades en la Comunidad de Paz de San José de Apartadó, Colombia"
"LM Rondón García,",121,2011,http://repositoriorscj.dyndns.org:8080/xmlui/bitstream/handle/PSCJ/1510/Nuevas%20formas%20de%20familia.pdf?sequence=1&isAllowed=y,Nuevas formas de familia y perspectivas para la mediación: El tránsito de la familia modelo a los distintos modelos familiares
"JPI Gutierrez,KM Serje",32,2018,https://revistaseug.ugr.es/index.php/revpaz/article/download/6234/7029,Aplicación del modelo transformativo de mediación en la conciliación extrajudicial de Colombia
"M Martínez,",85,2018,https://revistas.unisimon.edu.co/index.php/educacion/article/view/2838/5786,La formación en convivencia: papel de la mediación en la solución de conflictos
G Serrano,46,2008,https://www.uv.es/seoane/boletin/previos/N92-3.pdf,Eficacia y mediación familiar
"MG Durán,",22,2006,https://revistas.urosario.edu.co/index.php/territorios/article/download/855/774,Paz en el territorio: dinámica de expansión geográfica del accionar colectivo por la paz en Colombia 1978-2003
"XC Villamil,",30,2016,https://dialnet.unirioja.es/descarga/articulo/5580488.pdf,La comunidad internacional y su participación en los procesos de paz en Colombia
"C Giménez,",307,1997,http://www.colegiocentral.es/wp-content/uploads/2017/12/Carlos-Gimenez-La-Naturaleza-De-La-Mediaci%C3%B3n-Intercultural.pdf,La naturaleza de la mediación intercultural
F Cruz Artunduaga ,43,2008,https://diposit.ub.edu/dspace/bitstream/2445/43079/1/FCA_TESIS.pdf,Educar para gestionar conflictos en una sociedad fragmentada. Una propuesta educativa para una Cultura de Paz.
GMA Obregón,54,2014,https://dialnet.unirioja.es/descarga/articulo/7898247.pdf,Los docentes como constructores de prácticas de paz
"C Courtheyn,",14,2016,https://dialnet.unirioja.es/descarga/articulo/6127516.pdf,"Comunidad de Paz: Una paz"" otra"" en San José de Apartadó-Colombia"
JBP Sauceda,122,2015,https://www.redalyc.org/pdf/461/46139401006.pdf,Cultura de paz y resolución de conflictos: la importancia de la mediación en la construcción de un estado de paz
"CG Romero,",21,2020,,"Teoría y práctica de la mediación intercultural: Diversidad, conflicto y comunidad"
"J Arévalo Bencardino,",74,2014,http://www.scielo.org.co/scielo.php?pid=S0124-59962014000100007&script=sci_arttext,Construcción de paz y un nuevo modelo de construcción de Estado: una lectura de los dos primeros acuerdos de La Habana
"R Anrup,J Español",24,2011,https://dialnet.unirioja.es/descarga/articulo/3871234.pdf,Una comunidad de paz en conflicto con la soberanía y el aparato judicial del estado
"EA Sandoval Forero,",25,2013,,LOS CAMINOS PARA LA PAZ EN COLOMBIA.
"JC Torrego Seijo,A Galán González,",106,2008,https://www.academia.edu/download/94288290/re347_17.pdf,Investigación evaluativa sobre el programa de mediación de conflictos en centros escolares
PA Cabello,17,2016,https://santic.cl/mt-content/uploads/2023/08/cabello-et-al_cultura_de_paz.pdf,Cultura de paz
LJ Garay,9,2001,http://www.scielo.org.co/scielo.php?pid=S0121-47722001000100008&script=sci_arttext,La paz y la transformación de la sociedad
"G Rodríguez Fernández,",24,2008,https://www.scielo.cl/scielo.php?pid=S0718-65682008000100006&script=sci_arttext&tlng=en,"¿ Comunidad? Mediación comunitaria, habitar efímero y diversidad cultural"
M Arrieta,10,2022,https://www.aacademica.org/milton.arrietalopez/22.pdf,Evolución del derecho humano a la paz el marco de las Naciones Unidas y de las Organizaciones de la Sociedad Civil
SR de Horowitz ,18,2007,,Mediación: Convivencia y resolución de conflictos en la comunidad
FFM González,13,2020,https://revistas.investigacion-upelipb.com/index.php/educare/article/download/1326/1296,Mediación tecnológica orientada al desarrollo de habilidades cognitivas: Aportes para la sociedad del conocimiento
AJ Ruano Jiménez,12,2019,http://www.scielo.org.co/scielo.php?pid=S1657-63572019000100123&script=sci_arttext,"Sociedad en movimiento, tejiendo paz territorial en Nariño"
R Llopis,40,2004,https://revistas.unav.edu/index.php/communication-and-society/article/download/36332/30929/,La mediación familiar del consumo infantil de televisión. Un análisis referido a la sociedad española
"O Morales,F Castellanos,C ,Paz,",10,2013,https://dialnet.unirioja.es/descarga/articulo/5154936.pdf,La mediación en la resolución de conflictos: Su interpretación desde la comunidad educativa.
