Autor,Descargas,Fecha,Link,Resumen,Titulo
"Oliveira, Gabryelle da Silva,Alves, Carla Gusmão,Lima, Hebert Cavalcanti de,Oliveira, Adélia Augusta Souto de",0,"2024, ",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722024000100202&lang=es,"RESUMEN. Se discute la relación entre la homosexualidad, religión y familia, establecido em la psicologia sociohistórica. Busca indagar, a través de un análisis fílmico, los sentidos y significados presentados por la familia, en relación a la homosexualidad. Para esto, se usa la producción cinematográfica, Oraciones por Bobby como documento histórico y cultural que permite ressaltar las formas de las experiencias psicosociales. En esta proposición se adoptan metodologicamente procedimientos de identificación, recorte, descripción e interpretación de escenas emblemáticas. De este modo, se cosntruyeron tres categorías de análisis de las 16 escenas emblemáticas seleccionadas: significados de religión, homosexualidad y familia; significado de homosexualidad y suicido y los impactos intereracionales de los signos de la homosexualidad. Los resultados indican que larelación entre la homosexualidad asumida, los dogmas religiosos y la familia tradicional puede desencadenar actos suicidas com motivación volitiva y consciente; los significados del signo, los sentidos, el significado, la mediación y la internalización contribuyeron a la comprensióndel impacto que los conceptos de homosexualidad, construidos socialmente, tienen en la experiencia de la sexualidad de los jóvenes homosexuales y sus relaciones afectivas en la esfera social y familiar. Finalmente, se considera que la producción cinematográfica anima las discusiones sobre temas y fenómenos complejos, conorígenes históricas y representaciones persistentes, en el cualmoviliza nuevas formas de pensar y construir lo social; el significado de la homosexualidad se presenta de manera peyorativa , com lafuerza de la materialidade histórica y el mantenimiento hegemónico de las ideas, a través de grupos conservadores, que encuentran en la família un lugar, cariñoso y subjetivo, de reproducción fértil, mientras que los colectivos de identidad, la comunidad LGBTQIA+ busca espacios para el debate político y los avances y rupturas de estas nociones, historicamente construidas, en el processo de significar la sexualidad. Se insertan nuevos componentes, a través de las historias de personas que intercambian visiones y palabras impregnadas de sentido, que se reformulan constantemente.","HOMOSSEXUALIDADE, FAMÍLIA E RELIGIÃO: UMA ANÁLISE PSICOSSOCIAL DE ORAÇÕES PARA BOBBY"
"Gastellu, Sofía",0,"2023, ",http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-82132023000200012&lang=es,"Resumen Los Juzgados de Paz de la ciudad de Buenos Aires fueron creados en 1821 durante el proceso de reformas llevado a cabo por Bernardino Rivadavia. Sus primeras jurisdicciones fueron parroquiales, estableciendo un juez de paz por cada parroquia de la ciudad. A partir de 1839, sus límites fueron modificados durante el segundo gobierno de Juan Manuel de Rosas, otorgando a los jueces de paz un marco territorial propio como autoridad local de baja justicia. Nuestra propuesta es revisitar la dimensión territorial de la justicia de paz problematizando su relación con las parroquias, las comisarías y los cuarteles -así como las diferentes autoridades locales- con el propósito de establecer por qué se produjo la separación de los límites civiles y eclesiásticos. Explorar el equipamiento político del territorio de la justicia de paz y analizar las modificaciones del rosismo puede proporcionar nuevas miradas sobre un viejo problema: la influencia de la arquitectura político-institucional heredada de la década de 1820 en las medidas de gobierno que el rosismo implementó en la ciudad de Buenos Aires.",Los juzgados de paz de la ciudad de Buenos Aires. Entre los límites de las parroquias y un marco territorial propio (1821-1839)
"Palacios Sanabria, María Teresa,Peralta González, Laly Catalina",0,"2023, ",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062023000100010&lang=es,"Resumen En el artículo se analiza la relación entre dos de las realidades más complejas que enfrenta Colombia en la actualidad: la implementación del Acuerdo Final de 2016 para poner término al conflicto armado, y las olas migratorias provenientes de Venezuela y de otros países de la región. A través de una investigación cualitativa, fundamentada en el análisis de fuentes documentales en contraste con entrevistas semiestructuradas, se concluye que la presencia de la población inmigrante en el territorio estudiado no incrementa la criminalidad de la zona, por el contrario, se evidencia que los migrantes son sujetos altamente vulnerables. El análisis de dichas realidades permite establecer sinergias que orienten a la política pública desde un enfoque de derechos humanos.",Migración y posacuerdo: desafíos del Estado colombiano
"Roggero, Jorge Luis",0,"2023, ",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-879X2023000200203&lang=es,"Resumen  En este artículo, aceptando la “hipótesis extravagante” formulada por Miguel Abensour sobre la productiva articulación entre ética y política en Levinas, y teniendo en cuenta la continuación del trabajo levinasiano en la propuesta de Marion sobre la cuestión del amor y la llamada, introduciremos un análisis de la novela de Gabriela Cabezón Cámara, Las aventuras de la China Iron. El objetivo del texto es tratar de dar cuenta de la dimensión política y jurídica de la hermenéutica del amor en relación con el problema de la constitución de la comunidad.",Paz y amor. La posibilidad de la constitución política y jurídica de una comunidad en la fenomenología de J.-L. Marion como continuadora de la propuesta de E. Levinas
"Palacios Sanabria, María Teresa,Peralta González, Laly Catalina",0,"2023, ",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062023000100110&lang=es,"Resumen En el artículo se analiza la relación entre dos de las realidades más complejas que enfrenta Colombia en la actualidad: la implementación del Acuerdo Final de 2016 para poner término al conflicto armado, y las olas migratorias provenientes de Venezuela y de otros países de la región. A través de una investigación cualitativa, fundamentada en el análisis de fuentes documentales en contraste con entrevistas semiestructuradas, se concluye que la presencia de la población inmigrante en el territorio estudiado no incrementa la criminalidad de la zona, por el contrario, se evidencia que los migrantes son sujetos altamente vulnerables. El análisis de dichas realidades permite establecer sinergias que orienten a la política pública desde un enfoque de derechos humanos.",Migración y posacuerdo: desafíos del Estado colombiano
"Echavarría-Grajales, Carlos Valerio,Meza-Rueda, José Luis,González-Meléndez, Lizeth Lorena,Bernal-Ospina, Julián Santiago",0,"2023, ",http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-42582023000200355&lang=es,"Resumen  Objetivo. Identificar los saberes pedagógicos relacionados con la construcción de paz de maestros y maestras rurales que se ubican en seis departamentos de Colombia.  Metodología. Este artículo se deriva de la segunda fase de la investigación, la cual se enfocó en las narrativas escritas por 60 maestras y maestros de instituciones educativas rurales colombianas, en el marco las misiones pedagógicas territoriales. Para el análisis se grabó, se transcribió y se categorizó en macroestructuras de sentido la información producida en las comunidades mixtas de investigación, formación e innovación que constituyeron las maestras y los maestros participantes de esta investigación.  Resultados. El desarrollo de las capacidades políticas, éticas y ciudadanas contribuye a la concreción de condiciones de posibilidad que amplían las libertades humanas e institucionales para hacer de la educación y de la paz derechos restituidos. Aunque no coinciden el discurso político educativo y las experiencias ciudadanas, los saberes pedagógicos en torno a la construcción de paz resultan en una praxis que, al ser reflexionada, permite validar concepciones y creencias acerca de la convivialidad, democracia, participación, derechos humanos, respeto por la diferencia, diálogo, resolución de conflictos y trabajo colaborativo.  Conclusiones.  Construir paz en la escuela rural explicita un saber pedagógico relacionado con los propósitos formativos de una cultura de paz: la memoria histórica, la formación ciudadana y la dignificación humana.",Saberes pedagógicos en torno a la construcción de paz a partir de relatos de maestros y maestras de la ruralidad dispersa colombiana
"Gordillo-García, Johan",0,"2023, ",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032023000200465&lang=es,"Resumen: Tras dos años de constantes movilizaciones para oponerse a la violencia ocasionada por la “guerra” contra el crimen en México, el Movimiento por la Paz con Justicia y Dignidad (MPJD) redujo la frecuencia y la intensidad de sus acciones y, por lo tanto, su relevancia pública se diluyó. No obstante, mediante mecanismos de difusión relacional, el MPJD impactó en la organización de nuevos grupos liderados por familiares de personas desaparecidas, así como en sus repertorios contenciosos, con lo que se formó una comunidad de movimiento social contra la violencia de la guerra en el país. Este artículo analiza cómo ocurrió ese proceso.",Movimiento por la Paz con Justicia y Dignidad: consecuencias culturales
"Aguilar Correa, Cristian,Farías Farías, Bárbara Beatriz,Fuentes Savoy, Marcela Paz,Miranda Núñez, Paulina Ignacia,Pérez Pérez, Matías Ignacio",0,"2023, ",http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S2215-26442023000100001&lang=es,"Resumen La investigación tuvo por objetivo conocer el bienestar socioemocional del alumnado, personal docente, madres y padres de algunas escuelas públicas de la provincia de Curicó-Chile en contexto de pandemia y virtualidad. Las personas participantes fueron 49, todas pertenecientes a escuelas públicas de educación primaria de la provincia de Curicó, Chile. El diseño investigativo fue transversal descriptivo con enfoque mixto, empleando técnicas cuantitativas: Redes Semánticas Naturales (RSN) y cualitativas −entrevistas semiestructuradas y dibujo identitario−. En el análisis de datos se emplearon la estadística descriptiva y elementos de microanálisis de la Teoría Fundamentada. Los hallazgos evidenciaron una discrepancia en las emociones del cuerpo docente, nuevas experiencias socioemocionales y rutinas domésticas por parte de las madres y los padres, y experiencias formativas del estudiantado con variados obstáculos y emociones diversas. De estas últimas, las más recurrentes fueron: frustración, tristeza y miedo. Por otro lado, existe una amplia valoración de la comunidad del contexto socioeducativo presencial por sobre el virtual. Se recomienda fomentar el bienestar socioemocional escolar, debido a que es un elemento en la formación del ser humano a través de estrategias como los dibujos de reconocimiento de emociones para profesorado, alumnado, madres y padres.","Bienestar socioemocional en contexto de pandemia y virtualidad: una aproximación a padres, madres, profesorado y estudiantado de educación primaria en Chile"
"Ruiz-Barrantes, Esteban,Gallardo-Allen, Eugenia",0,"2023, ",http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S2215-41322023000100198&lang=es,"Resumen: La presente sistematización tiene como finalidad exponer la experiencia docente utilizando datos reales en la resolución de problemas para desarrollar en el estudiantado habilidades relacionadas con la alfabetización y el pensamiento estadístico. Un aspecto por considerar, para el diseño de la estrategia didáctica, fue el contexto de la pandemia del virus responsable de la COVID, debido al traslado de los cursos a la modalidad 100% virtual. La experiencia didáctica inicia con la aplicación de un cuestionario en línea dirigido al estudiantado de cursos introductorios de Estadística de varias de las carreras de la Universidad de Costa Rica, donde a partir del conjunto de datos recolectados en línea y datos publicados por el Ministerio de Salud relacionados con el virus de la COVID se generaron diversas guías de aprendizaje enfocadas a los conceptos básicos de estadística descriptiva. Entre los principales resultados, se encontró la importancia que tiene la mediación tecnológica para lograr la alfabetización y el pensamiento estadístico enfocándose en aspectos relacionados con la calidad de los datos, su resumen e interpretación. Adicionalmente, el estudiantado logró ir más allá del cálculo estadístico, ya que estableció conclusiones de fondo relacionadas con su disciplina.",La alfabetización y el pensamiento estadístico en la sociedad de la información: una reflexión desde el ejercicio docente
"Azofeifa-Mora, Christian,García-Martínez, José Antonio",0,"2023, ",http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S2215-41322023000100232&lang=es,"Resumen: El presente artículo tiene como objetivo implementar un modelo de mediación pedagógica apoyada en el uso de las Tecnologías de la Información y la Comunicación (TIC) por medio de los principios del aprendizaje invertido en un curso bimodal para la formación universitaria de profesionales en Ciencias del Movimiento Humano. Para ello, se utilizó una metodología sociocrítica, bajo un enfoque de investigación-acción con un grupo de 21 personas estudiantes universitarias de la carrera del Bachillerato en la Enseñanza de la Educación Física, Deporte y Recreación que matriculan el curso Entrenamiento Contrarresistencia. El trabajo parte de una etapa diagnóstica que permite detectar la problemática. En etapas posteriores, se implementa el curso y se evalúa. Los resultados muestran valoraciones de satisfacción positivas sobre la formación recibida durante el curso, la metodología implementada y los materiales multimedia aplicados. En conclusión, un modelo de mediación pedagógica apoyado en el aprendizaje invertido y en el uso de las TIC constituye una adecuada alternativa para la implementación en cursos bimodales, dotando de mayor flexibilidad curricular al estudiante y permitiendo aprovechar los momentos presenciales con actividades activas de mediación.",Formación bimodal universitaria de profesionales en Ciencias del Movimiento Humano: un aporte desde el modelo de aprendizaje invertido con el apoyo de las Tecnologías de la Información y la Comunicación (TIC)
